,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],0,,0,T1098,Account Manipulation,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
1,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],1,,1,T1098.001,Additional Cloud Credentials,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
2,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],2,,2,T1110,Brute Force,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
3,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],3,,3,T1110.001,Password Guessing,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
4,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],4,,4,T1110.002,Password Cracking,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
5,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],5,,5,T1078,Valid Accounts,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
6,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],6,,6,T1078.004,Cloud Accounts,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
7,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],7,,7,T1078.003,Local Accounts,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
8,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],8,,8,T1110.003,Password Spraying,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
9,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],9,,9,T1136,Create Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
10,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],10,,10,T1136.003,Cloud Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
11,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],11,,11,T1087,Account Discovery,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
12,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],12,,12,T1087.004,Cloud Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
13,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],13,,13,T1580,Cloud Infrastructure Discovery,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
14,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],14,,14,T1528,Steal Application Access Token,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
15,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],15,,15,T1550,Use Alternate Authentication Material,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
16,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],16,,16,T1550.001,Application Access Token,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
17,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],17,,17,T1562,Impair Defenses,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
18,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],18,,18,T1562.008,Disable Cloud Logs,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
19,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],19,,19,T1556,Modify Authentication Process,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
20,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],20,,20,T1087.002,Domain Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
21,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],21,,21,T1098.002,Exchange Email Delegate Permissions,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
22,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],22,,22,T1098.003,Add Office 365 Global Administrator Role,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
23,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],23,,23,T1098.004,SSH Authorized Keys,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
24,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],24,,24,T1136.001,Local Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
25,IdentityPlatform,['https://cloud.google.com/identity-platform/docs/concepts'],25,,25,T1136.002,Domain Account,,"['Identity', 'Multi-Factor Authentication', 'Passwords', 'Credentials', 'Access Management']"
