,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",0,,0,T1059,Command and Scripting Interpreter,,"['Azure Defender', 'Linux']"
1,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",1,,1,T1068,Exploitation for Privilege Escalation,,"['Azure Defender', 'Linux']"
2,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",2,,2,T1098,Account Manipulation,,"['Azure Defender', 'Linux']"
3,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",3,,3,T1547,Boot or Logon Autostart Execution,,"['Azure Defender', 'Linux']"
4,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",4,,4,T1136,Create Account,,"['Azure Defender', 'Linux']"
5,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",5,,5,T1505,Server Software Component,,"['Azure Defender', 'Linux']"
6,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",6,,6,T1564,Hide Artifacts,,"['Azure Defender', 'Linux']"
7,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",7,,7,T1562,Impair Defenses,,"['Azure Defender', 'Linux']"
8,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",8,,8,T1070,Indicator Removal on Host,,"['Azure Defender', 'Linux']"
9,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",9,,9,T1027,Obfuscated Files or Information,,"['Azure Defender', 'Linux']"
10,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",10,,10,T1110,Brute Force,,"['Azure Defender', 'Linux']"
11,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",11,,11,T1003,OS Credential Dumping,,"['Azure Defender', 'Linux']"
12,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",12,,12,T1021,Remote Services,,"['Azure Defender', 'Linux']"
13,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",13,,13,T1525,Implant Container Image,,"['Azure Defender', 'Linux']"
14,Linux auditd alerts and Log Analytics agent integration,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-linux']",14,,14,T1113,Screen Capture,,"['Azure Defender', 'Linux']"
