,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],0,,0,T1053,Scheduled Task/Job,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
1,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],1,,1,T1098,Account Manipulation,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
2,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],2,,2,T1547,Boot or Logon Autostart Execution,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
3,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],3,,3,T1037,Boot or Logon Initialization Scripts,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
4,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],4,,4,T1543,Create or Modify System Process,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
5,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],5,,5,T1546,Event Triggered Execution,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
6,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],6,,6,T1574,Hijack Execution Flow,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
7,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],7,,7,T1137,Office Application Startup,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
8,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],8,,8,T1548,Abuse Elevation Control Mechanism,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
9,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],9,,9,T1556,Modify Authentication Process,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
10,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],10,,10,T1003,OS Credential Dumping,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
11,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],11,,11,T1222,File and Directory Permissions Modification,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
12,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],12,,12,T1562,Impair Defenses,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
13,File Integrity Monitoring,['https://docs.microsoft.com/en-us/azure/security-center/security-center-file-integrity-monitoring'],13,,13,T1553,Subvert Trust Controls,,"['Azure Security Center', 'Azure Security Center Recommendation', 'Azure Defender', 'Azure Defender for Servers', 'Windows', 'Linux']"
