,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],0,,0,T1098,Account Manipulation,,"['Multi-Factor Authentication', 'Phishing']"
1,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],1,,1,T1110,Brute Force,,"['Multi-Factor Authentication', 'Phishing']"
2,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],2,,2,T1136,Create Account,,"['Multi-Factor Authentication', 'Phishing']"
3,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],3,,3,T1530,Data from Cloud Storage Object,,"['Multi-Factor Authentication', 'Phishing']"
4,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],4,,4,T1114,Email Collection,,"['Multi-Factor Authentication', 'Phishing']"
5,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],5,,5,T1133,External Remote Services,,"['Multi-Factor Authentication', 'Phishing']"
6,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],6,,6,T1556,Modify Authentication Process,,"['Multi-Factor Authentication', 'Phishing']"
7,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],7,,7,T1021,Remote Services,,"['Multi-Factor Authentication', 'Phishing']"
8,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],8,,8,T1078.002,Domain Accounts,,"['Multi-Factor Authentication', 'Phishing']"
9,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],9,,9,T1078.004,Cloud Accounts,,"['Multi-Factor Authentication', 'Phishing']"
10,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],10,,10,T1110.001,Password Guessing,,"['Multi-Factor Authentication', 'Phishing']"
11,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],11,,11,T1110.002,Password Cracking,,"['Multi-Factor Authentication', 'Phishing']"
12,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],12,,12,T1110.003,Password Spraying,,"['Multi-Factor Authentication', 'Phishing']"
13,AdvancedProtectionProgram,['https://landing.google.com/advancedprotection/'],13,,13,T1110.004,Credential Stuffing,,"['Multi-Factor Authentication', 'Phishing']"
