,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Identity and Access Management,['https://cloud.google.com/iam'],0,,0,T1098,Account Manipulation,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
1,Identity and Access Management,['https://cloud.google.com/iam'],1,,1,T1098.001,Additional Cloud Credentials,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
2,Identity and Access Management,['https://cloud.google.com/iam'],2,,2,T1069,Permission Groups Discovery,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
3,Identity and Access Management,['https://cloud.google.com/iam'],3,,3,T1069.003,Cloud Groups,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
4,Identity and Access Management,['https://cloud.google.com/iam'],4,,4,T1078,Valid Accounts,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
5,Identity and Access Management,['https://cloud.google.com/iam'],5,,5,T1078,Valid Accounts,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
6,Identity and Access Management,['https://cloud.google.com/iam'],6,,6,T1078.004,Cloud Accounts,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
7,Identity and Access Management,['https://cloud.google.com/iam'],7,,7,T1087.004,Cloud Account,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
8,Identity and Access Management,['https://cloud.google.com/iam'],8,,8,T1087,Account Discovery,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
9,Identity and Access Management,['https://cloud.google.com/iam'],9,,9,T1613,Container and Resource Discovery,,"['Identity', 'Credentials', 'Access Management', 'Multi-Factor Authentication', 'Role Based Access Control']"
