,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],0,,0,T1071,Application Layer Protocol,,['Network']
1,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],1,,1,T1530,Data from Cloud Storage Object,,['Network']
2,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],2,,2,T1499,Endpoint Denial of Service,,['Network']
3,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],3,,3,T1048,Exfiltration Over Alternative Protocol,,['Network']
4,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],4,,4,T1187,Forced Authentication,,['Network']
5,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],5,,5,T1498,Network Denial of Service,,['Network']
6,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],6,,6,T1095,Non-Application Layer Protocol,,['Network']
7,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],7,,7,T1572,Protocol Tunneling,,['Network']
8,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],8,,8,T1090,Proxy,,['Network']
9,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],9,,9,T1219,Remote Access Software,,['Network']
10,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],10,,10,T1021,Remote Services,,['Network']
11,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],11,,11,T1205,Traffic Signaling,,['Network']
12,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],12,,12,T1008,Fallback Channels,,['Network']
13,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],13,,13,T1104,Multi-Stage Channels,,['Network']
14,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],14,,14,T1046,Network Service Scanning,,['Network']
15,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],15,,15,T1595,Active Scanning,,['Network']
16,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],16,,16,T1571,Non-Standard Port,,['Network']
17,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],17,,17,T1542,Pre-OS Boot,,['Network']
18,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],18,,18,T1041,Exfiltration Over C2 Channel,,['Network']
19,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],19,,19,T1018,Remote System Discovery,,['Network']
20,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],20,,20,T1133,External Remote Services,,['Network']
21,AWS Network Firewall,['https://docs.aws.amazon.com/network-firewall/latest/developerguide/what-is-aws-network-firewall.html'],21,,21,T1590,Gather Victim Network Information,,['Network']
