,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],0,,0,T1087,Account Discovery,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
1,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],1,,1,T1482,Domain Trust Discovery,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
2,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],2,,2,T1201,Password Policy Discovery,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
3,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],3,,3,T1069,Permission Groups Discovery,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
4,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],4,,4,T1210,Exploitation of Remote Services,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
5,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],5,,5,T1550,Use Alternate Authentication Material,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
6,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],6,,6,T1557,Man-in-the-Middle,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
7,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],7,,7,T1110,Brute Force,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
8,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],8,,8,T1558,Steal or Forge Kerberos Tickets,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
9,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],9,,9,T1133,External Remote Services,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
10,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],10,,10,T1555,Credentials from Password Stores,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
11,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],11,,11,T1047,Windows Management Instrumentation,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
12,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],12,,12,T1059,Command and Scripting Interpreter,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
13,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],13,,13,T1021,Remote Services,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
14,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],14,,14,T1569,System Services,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
15,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],15,,15,T1207,Rogue Domain Controller,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
16,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],16,,16,T1003,OS Credential Dumping,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
17,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],17,,17,T1556,Modify Authentication Process,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
18,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],18,,18,T1098,Account Manipulation,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
19,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],19,,19,T1543,Create or Modify System Process,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
20,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],20,,20,T1071,Application Layer Protocol,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
21,Microsoft Defender for Identity,['https://docs.microsoft.com/en-us/defender-for-identity/what-is'],21,,21,T1048,Exfiltration Over Alternative Protocol,,"['Credentials', 'DNS', 'Identity', 'Microsoft 365 Defender', 'Windows']"
